,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
11113,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,PSAP,AR,0.34043282,0.47,0.09409246,0.0868147,0.122447744,0.011593248,0.8086765,0.0,1.0,1.0,1.0
14771,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMA3,ITGA3_ITGB1,0.29802424,1.0,0.08709522,-0.048130706,-0.23265171,0.00904728,0.802627,0.0,1.0,1.0,1.0
14774,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMA5,ITGA3_ITGB1,0.6941946,0.0,0.29034048,0.21405356,0.35368437,0.030592337,0.8813024,0.0,1.0,1.0,1.0
14776,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB1,ITGA1,0.42690378,0.0,0.1758332,0.18914406,0.22410268,0.023173196,0.8524644,0.0,1.0,1.0,1.0
14777,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB1,ITGA2_ITGB1,0.43321636,0.009,0.182234,0.02927601,-0.027370214,0.014287919,0.8546987,0.0,1.0,1.0,1.0
14778,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB1,ITGA3_ITGB1,0.38175076,0.582,0.130049,-0.0024545721,-0.079261124,0.015848547,0.8324721,0.0,1.0,1.0,1.0
11089,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMB3,CD44,0.7718304,0.0,0.28375897,0.2336555,0.3233986,0.018353367,0.88009787,0.0,1.0,1.0,1.0
14770,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMA3,ITGA2_ITGB1,0.34948987,0.982,0.12204409,-0.016400125,-0.1807608,0.008156382,0.82799524,0.0,1.0,1.0,1.0
12973,PDO_DMSO_PDO_CAF,PDO_SN38_PDO,LAMB2,ITGA6_ITGB1,0.48386633,0.0,0.19211031,0.055111613,0.16106072,0.022150978,0.85794544,0.0,1.0,1.0,1.0
12956,PDO_DMSO_PDO_CAF,PDO_SN38_PDO,LAMA5,BCAM,0.5026829,0.0,0.16857736,0.070341915,0.16377538,0.038374666,0.8497947,0.0,1.0,1.0,1.0
